Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Third Wave Coffee,https://maps.google.com/?q=Third+Wave+Coffee+Indiranagar+Bangalore,8AM,11PM,☕☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌
Blue Tokai Coffee,https://maps.google.com/?q=Blue+Tokai+Coffee+Indiranagar+Bangalore,8AM,9PM,☕☕☕☕☕,💪💪💪💪,🔌🔌🔌🔌🔌
Matteo Coffea,https://maps.google.com/?q=Matteo+Coffea+Church+Street+Bangalore,8:30AM,10PM,☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌
Dyu Art Cafe,https://maps.google.com/?q=Dyu+Art+Cafe+Koramangala+Bangalore,9AM,10PM,☕☕☕☕,💪💪💪,🔌🔌🔌🔌🔌
Cafe Noir,https://maps.google.com/?q=Cafe+Noir+Koramangala+Bangalore,9AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌
The Hole in the Wall Cafe,https://maps.google.com/?q=Hole+in+the+Wall+Cafe+Indiranagar+Bangalore,8:30AM,11PM,☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
Kapi Kafe,https://maps.google.com/?q=Kapi+Kafe+Jayanagar+Bangalore,7:30AM,9:30PM,☕☕☕☕☕,💪💪💪,🔌🔌🔌🔌
Onesta Cafe,https://maps.google.com/?q=Onesta+Cafe+HSR+Layout+Bangalore,10AM,11PM,☕☕☕,💪💪💪💪,🔌🔌🔌🔌🔌
Cafe Azzure,https://maps.google.com/?q=Cafe+Azzure+Whitefield+Bangalore,10AM,11PM,☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌
Koshe Cafe,https://maps.google.com/?q=Koshe+Cafe+Koramangala+Bangalore,9AM,11PM,☕☕☕,💪💪💪💪,🔌🔌🔌🔌🔌
Toit Brewpub,https://maps.google.com/?q=Toit+Brewpub+Indiranagar+Bangalore,12PM,11:30PM,☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌
Cafe Amudham,https://maps.google.com/?q=Cafe+Amudham+Basavanagudi+Bangalore,8AM,9PM,☕☕☕☕☕,💪💪💪,🔌🔌🔌🔌🔌
The Bake Studio,https://maps.google.com/?q=The+Bake+Studio+Sadashivanagar+Bangalore,9AM,9PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌🔌
Roastery Coffee House,https://maps.google.com/?q=Roastery+Coffee+House+Indiranagar+Bangalore,8AM,10PM,☕☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
Cafe 1947,https://maps.google.com/?q=Cafe+1947+Richmond+Road+Bangalore,9AM,11PM,☕☕☕☕,💪💪💪💪,🔌🔌🔌🔌
